Customer_Name,Segment,num_orders,total_sales,total_profit
Sean Miller,Home Office,5,25043.05,-1980.74
Tamara Chand,Corporate,5,19052.22,8981.32
Raymond Buch,Consumer,6,15117.34,6976.1
Tom Ashbrook,Home Office,4,14595.62,4703.79
Adrian Barton,Consumer,10,14473.57,5444.81
Ken Lonsdale,Consumer,12,14175.23,806.85
Sanjit Chand,Consumer,9,14142.33,5757.41
Hunter Lopez,Consumer,6,12873.3,5622.43
Sanjit Engle,Consumer,11,12209.44,2650.68
Christopher Conant,Consumer,5,12129.07,2177.05
Todd Sumrall,Corporate,6,11891.75,2371.71
Greg Tran,Consumer,11,11820.12,2163.43
Becky Martin,Consumer,4,11789.63,-1659.96
Seth Vernon,Consumer,10,11470.95,1199.42
Caroline Jumper,Consumer,8,11164.97,858.74
Clay Ludtke,Consumer,12,10880.55,1933.78
Maria Etezadi,Home Office,10,10663.73,1859.47
Karen Ferguson,Home Office,7,10604.27,1660.14
Bill Shonely,Corporate,5,10501.65,2616.06
Edward Hooks,Corporate,12,10310.88,1393.52
